name,type,rating,price,link,distance,lat,lng
巧福便當（不外送.10:00～13:00不接電話）,便當,4.4,$1-200,https://www.google.com/maps/place/%E5%B7%A7%E7%A6%8F%E4%BE%BF%E7%95%B6%EF%BC%88%E4%B8%8D%E5%A4%96%E9%80%81.10:00%EF%BD%9E13:00%E4%B8%8D%E6%8E%A5%E9%9B%BB%E8%A9%B1%EF%BC%89/data=!4m7!3m6!1s0x3442a9b0f7253887:0xab5410af97edd0f1!8m2!3d25.0444813!4d121.5123479!16s%2Fg%2F11f776ks44!19sChIJhzgl97CpQjQR8dDtl68QVKs?authuser=0&hl=zh-TW&rclk=1,577,25.0444813,121.5123479
公園飯包,便當,4.1,$1-200,https://www.google.com/maps/place/%E5%85%AC%E5%9C%92%E9%A3%AF%E5%8C%85/data=!4m7!3m6!1s0x3442a97300e7b31f:0x72aa1da91400c1da!8m2!3d25.0452595!4d121.5168489!16s%2Fg%2F11gdrqh10y!19sChIJH7PnAHOpQjQR2sEAFKkdqnI?authuser=0&hl=zh-TW&rclk=1,179,25.0452595,121.5168489
華南排骨便當專門店,便當,4.0,$1-200,https://www.google.com/maps/place/%E8%8F%AF%E5%8D%97%E6%8E%92%E9%AA%A8%E4%BE%BF%E7%95%B6%E5%B0%88%E9%96%80%E5%BA%97/data=!4m7!3m6!1s0x3442a90ce6071b87:0x45a489222e76d1e3!8m2!3d25.0459177!4d121.5123933!16s%2Fg%2F1v42ch4v!19sChIJhxsH5gypQjQR49F2LiKJpEU?authuser=0&hl=zh-TW&rclk=1,522,25.0459177,121.5123933
青島排骨便當,便當,3.9,$1-200,https://www.google.com/maps/place/%E9%9D%92%E5%B3%B6%E6%8E%92%E9%AA%A8%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442a97109525283:0x4712d6e8bcd23a1b!8m2!3d25.0440164!4d121.5217671!16s%2Fg%2F1tcwnvch!19sChIJg1JSCXGpQjQRGzrSvOjWEkc?authuser=0&hl=zh-TW&rclk=1,527,25.0440164,121.5217671
老董古早味便當,便當,3.9,$1-200,https://www.google.com/maps/place/%E8%80%81%E8%91%A3%E5%8F%A4%E6%97%A9%E5%91%B3%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442a972880d94cf:0xba49bfc2738a511e!8m2!3d25.0474343!4d121.516944!16s%2Fg%2F1tdb6jrc!19sChIJz5QNiHKpQjQRHlGKc8K_Sbo?authuser=0&hl=zh-TW&rclk=1,93,25.0474343,121.516944
臺鐵便當本舖臨時行動餐車,便當,4.4,$1-200,https://www.google.com/maps/place/%E8%87%BA%E9%90%B5%E4%BE%BF%E7%95%B6%E6%9C%AC%E8%88%96%E8%87%A8%E6%99%82%E8%A1%8C%E5%8B%95%E9%A4%90%E8%BB%8A/data=!4m7!3m6!1s0x3442a90047a1aba5:0xfe9ae1337ddfd37c!8m2!3d25.0474197!4d121.5164609!16s%2Fg%2F11vwfgj035!19sChIJpauhRwCpQjQRfNPffTPhmv4?authuser=0&hl=zh-TW&rclk=1,128,25.0474197,121.5164609
食堂,便當,4.3,$1-200,https://www.google.com/maps/place/%E9%A3%9F%E5%A0%82/data=!4m7!3m6!1s0x3442a947001a0833:0xf5667c27bfbdf2d3!8m2!3d25.0452719!4d121.5167006!16s%2Fg%2F11thhmj62n!19sChIJMwgaAEepQjQR0_K9vyd8ZvU?authuser=0&hl=zh-TW&rclk=1,184,25.0452719,121.5167006
心泰軟,便當,4.6,$1-200,https://www.google.com/maps/place/%E5%BF%83%E6%B3%B0%E8%BB%9F/data=!4m7!3m6!1s0x3442a986cab244d7:0xc6965783068a79d8!8m2!3d25.044858!4d121.5140537!16s%2Fg%2F11qm3rcntg!19sChIJ10SyyoapQjQR2HmKBoNXlsY?authuser=0&hl=zh-TW&rclk=1,406,25.044858,121.5140537
羊城快餐（平價便當）,便當,4.0,$1-200,https://www.google.com/maps/place/%E7%BE%8A%E5%9F%8E%E5%BF%AB%E9%A4%90%EF%BC%88%E5%B9%B3%E5%83%B9%E4%BE%BF%E7%95%B6%EF%BC%89/data=!4m7!3m6!1s0x3442a9607cb0c0b9:0xad6b20b7677a4871!8m2!3d25.0445416!4d121.5128096!16s%2Fg%2F11yshqbzhv!19sChIJucCwfGCpQjQRcUh6Z7cga60?authuser=0&hl=zh-TW&rclk=1,533,25.0445416,121.5128096
熊衝村長-弁当-(村長便當) 站前店-中正/台北車站特色便當|平價便當|會議餐盒推薦|外帶便當|外送餐盒|精緻餐盒|在地推薦便當|烤肉飯推薦,便當,4.0,$1-200,https://www.google.com/maps/place/%E7%86%8A%E8%A1%9D%E6%9D%91%E9%95%B7-%E5%BC%81%E5%BD%93-%28%E6%9D%91%E9%95%B7%E4%BE%BF%E7%95%B6%29+%E7%AB%99%E5%89%8D%E5%BA%97-%E4%B8%AD%E6%AD%A3%2F%E5%8F%B0%E5%8C%97%E8%BB%8A%E7%AB%99%E7%89%B9%E8%89%B2%E4%BE%BF%E7%95%B6%7C%E5%B9%B3%E5%83%B9%E4%BE%BF%E7%95%B6%7C%E6%9C%83%E8%AD%B0%E9%A4%90%E7%9B%92%E6%8E%A8%E8%96%A6%7C%E5%A4%96%E5%B8%B6%E4%BE%BF%E7%95%B6%7C%E5%A4%96%E9%80%81%E9%A4%90%E7%9B%92%7C%E7%B2%BE%E7%B7%BB%E9%A4%90%E7%9B%92%7C%E5%9C%A8%E5%9C%B0%E6%8E%A8%E8%96%A6%E4%BE%BF%E7%95%B6%7C%E7%83%A4%E8%82%89%E9%A3%AF%E6%8E%A8%E8%96%A6/data=!4m7!3m6!1s0x3442a9ba39be30c9:0x2c32eb997759c05!8m2!3d25.0449919!4d121.5162658!16s%2Fg%2F11yk5_tlg9!19sChIJyTC-ObqpQjQRBZx1l7kuwwI?authuser=0&hl=zh-TW&rclk=1,232,25.0449919,121.5162658
