name,type,rating,price,link,distance,lat,lng
食勾伊の弁当,便當,4.7,$1-200,https://www.google.com/maps/place/%E9%A3%9F%E5%8B%BE%E4%BC%8A%E3%81%AE%E5%BC%81%E5%BD%93/data=!4m7!3m6!1s0x3442ab723ffa0827:0x1a71f5c5d7dcbcb7!8m2!3d25.032894!4d121.5454939!16s%2Fg%2F11gjhj66l7!19sChIJJwj6P3KrQjQRt7zc18X1cRo?authuser=0&hl=zh-TW&rclk=1,183.0,25.032894,121.5454939
十一雞 國產土雞便當仁愛大安店,便當,4.0,無資料,https://www.google.com/maps/place/%E5%8D%81%E4%B8%80%E9%9B%9E+%E5%9C%8B%E7%94%A2%E5%9C%9F%E9%9B%9E%E4%BE%BF%E7%95%B6%E4%BB%81%E6%84%9B%E5%A4%A7%E5%AE%89%E5%BA%97/data=!4m7!3m6!1s0x3442ab12d9c047e5:0xe826679d09034170!8m2!3d25.0370899!4d121.5466909!16s%2Fg%2F11mf_4tvt8!19sChIJ5UfA2RKrQjQRcEEDCZ1nJug?authuser=0&hl=zh-TW&rclk=1,474.0,25.0370899,121.5466909
邊田庄便當本舖,便當,3.7,$1-200,https://www.google.com/maps/place/%E9%82%8A%E7%94%B0%E5%BA%84%E4%BE%BF%E7%95%B6%E6%9C%AC%E8%88%96/data=!4m7!3m6!1s0x3442ab000e49767f:0xb6a082f38949bf2a!8m2!3d25.0336155!4d121.5441386!16s%2Fg%2F11yltx3499!19sChIJf3ZJDgCrQjQRKr9JifOCoLY?authuser=0&hl=zh-TW&rclk=1,26.0,25.0336155,121.5441386
Cross to go早餐、便當、外燴,便當,4.3,$1-200,https://www.google.com/maps/place/Cross+to+go%E6%97%A9%E9%A4%90%E3%80%81%E4%BE%BF%E7%95%B6%E3%80%81%E5%A4%96%E7%87%B4/data=!4m7!3m6!1s0x3442ab2123d15ca1:0x77d88de596fc098b!8m2!3d25.0386513!4d121.5466949!16s%2Fg%2F11k69cj34g!19sChIJoVzRIyGrQjQRiwn8luWN2Hc?authuser=0&hl=zh-TW&rclk=1,623.0,25.0386513,121.5466949
一品香便當,便當,4.5,$1-200,https://www.google.com/maps/place/%E4%B8%80%E5%93%81%E9%A6%99%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442ab9467db7ca3:0x85789f956bb777c8!8m2!3d25.0326221!4d121.5458644!16s%2Fg%2F11sct7dz13!19sChIJo3zbZ5SrQjQRyHe3a5WfeIU?authuser=0&hl=zh-TW&rclk=1,231.0,25.0326221,121.5458644
誠哥便當專賣店,便當,3.7,$1-200,https://www.google.com/maps/place/%E8%AA%A0%E5%93%A5%E4%BE%BF%E7%95%B6%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m7!3m6!1s0x3442abfa30f19007:0x6f99782179eb4921!8m2!3d25.0330414!4d121.5458733!16s%2Fg%2F11tjzsxnwt!19sChIJB5DxMPqrQjQRIUnreSF4mW8?authuser=0&hl=zh-TW&rclk=1,212.0,25.0330414,121.5458733
全福海鮮,便當,4.4,$$,https://www.google.com/maps/place/%E5%85%A8%E7%A6%8F%E6%B5%B7%E9%AE%AE/data=!4m7!3m6!1s0x3442abd1c6d174e7:0x1503abb4f6034e3d!8m2!3d25.0373067!4d121.5471316!16s%2Fg%2F11cjj6sm04!19sChIJ53TRxtGrQjQRPU4D9rSrAxU?authuser=0&hl=zh-TW&rclk=1,521.0,25.0373067,121.5471316
老圓環便當,便當,3.9,$1-200,https://www.google.com/maps/place/%E8%80%81%E5%9C%93%E7%92%B0%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442aa2ba25b5057:0xf66356202020ad6b!8m2!3d25.028682!4d121.5411439!16s%2Fg%2F11cn9sk4rl!19sChIJV1BboiuqQjQRa60gICBWY_Y?authuser=0&hl=zh-TW&rclk=1,619.0,25.028682,121.5411439
梁社漢排骨-大安一店,便當,3.6,$1-200,https://www.google.com/maps/place/%E6%A2%81%E7%A4%BE%E6%BC%A2%E6%8E%92%E9%AA%A8-%E5%A4%A7%E5%AE%89%E4%B8%80%E5%BA%97/data=!4m7!3m6!1s0x3442ab5b4efc7f31:0xeddc4b30e8d30b46!8m2!3d25.0346089!4d121.5461749!16s%2Fg%2F11scx9_v_0!19sChIJMX_8TlurQjQRRgvT6DBL3O0?authuser=0&hl=zh-TW&rclk=1,253.0,25.0346089,121.5461749
彩虹座(自助餐) Rainbow Terrace (移至2樓麗香苑),自助餐,3.9,$$,https://www.google.com/maps/place/%E5%BD%A9%E8%99%B9%E5%BA%A7%28%E8%87%AA%E5%8A%A9%E9%A4%90%29+Rainbow+Terrace+%28%E7%A7%BB%E8%87%B32%E6%A8%93%E9%BA%97%E9%A6%99%E8%8B%91%29/data=!4m7!3m6!1s0x3442abd149394c53:0xd52077c3b4b08925!8m2!3d25.037704!4d121.543377!16s%2Fg%2F1tvgs0yw!19sChIJU0w5SdGrQjQRJYmwtMN3INU?authuser=0&hl=zh-TW&rclk=1,452.0,25.037704,121.543377
